Species,DBH,Male Cones,Female Cones,Height,Health,Pitch Tubes,Frass,Sap Drips,Holes,Crown Cover,Site,Beetle,Fecundity,Tree Number,Year
COUL,94.7,Y,Y,21.96,H,N,N,N,N,50,1,0,3,1,2015
COUL,4.1,N,N,2.8,H,N,N,N,N,25,1,0,0,2,2015
COUL,5.9,N,N,2.82,H,N,N,N,N,30,1,0,0,3,2015
COUL,23.8,Y,Y,9.7,U,N,N,N,N,30,1,0,3,4,2015
COUL,10.8,N,Y,5.67,D,Y,N,N,N,0,1,0,1,5,2015
COUL,7.9,Y,N,3.76,U,N,N,N,N,15,1,0,2,6,2015
COUL,8.1,Y,N,3.44,U,N,N,N,N,20,1,0,2,7,2015
COUL,14.4,Y,Y,5.12,U,N,N,N,N,10,1,0,3,8,2015
COUL,23,Y,Y,8.24,U,N,N,N,N,15,1,0,3,9,2015
COUL,2.1,Y,N,2.3,U,N,N,N,N,15,1,0,2,10,2015
COUL,4.2,Y,N,3.5,U,N,N,N,N,20,1,0,2,11,2015
COUL,25.1,Y,Y,12,U,N,N,N,N,35,1,0,3,12,2015
COUL,12.1,Y,N,6.64,U,N,N,N,N,25,1,0,2,13,2015
COUL,14.3,Y,N,5.44,U,N,N,Y,N,20,1,1,2,14,2015
COUL,25.7,Y,Y,7.8,H,N,N,Y,N,35,1,1,3,15,2015
ATTE,68.5,N,Y,12,D,Y,Y,Y,Y,0,2,4,1,16,2015
COUL,23.3,N,Y,6.65,D,Y,Y,Y,Y,0,2,4,1,17,2015
COUL,27,N,Y,7.85,D,N,N,Y,N,0,2,1,1,18,2015
COUL,22,N,Y,7.15,D,N,Y,Y,Y,0,2,3,1,19,2015
COUL,22.3,N,Y,5.2,D,N,N,Y,Y,0,2,2,1,20,2015
COUL,22.7,N,Y,6.525,D,N,N,Y,Y,0,2,2,1,21,2015
COUL,19.8,N,N,5.98,D,Y,Y,Y,Y,0,2,4,0,22,2015
COUL,23,N,Y,4.76,D,N,Y,Y,Y,0,2,3,1,23,2015
