Species,DBH,Male Cones,Female Cones,Height,Health,Pitch Tubes,Frass,Sap Drips,Holes,Crown Cover,Site,Beetle,Fecundity,Year,Tree Number
COUL,94.7,Y,Y,21.96,H,N,N,N,N,50,1,0,3,2015,1
COUL,4.1,N,N,2.8,H,N,N,N,N,25,1,0,0,2015,2
COUL,5.9,N,N,2.82,H,N,N,N,N,30,1,0,0,2015,3
COUL,23.8,Y,Y,9.7,U,N,N,N,N,30,1,0,3,2015,4
COUL,10.8,N,Y,5.67,D,Y,N,N,N,0,1,0,1,2015,5
COUL,7.9,Y,N,3.76,U,N,N,N,N,15,1,0,2,2015,6
COUL,8.1,Y,N,3.44,U,N,N,N,N,20,1,0,2,2015,7
COUL,14.4,Y,Y,5.12,U,N,N,N,N,10,1,0,3,2015,8
COUL,23,Y,Y,8.24,U,N,N,N,N,15,1,0,3,2015,9
COUL,2.1,Y,N,2.3,U,N,N,N,N,15,1,0,2,2015,10
COUL,4.2,Y,N,3.5,U,N,N,N,N,20,1,0,2,2015,11
COUL,25.1,Y,Y,12,U,N,N,N,N,35,1,0,3,2015,12
COUL,12.1,Y,N,6.64,U,N,N,N,N,25,1,0,2,2015,13
COUL,14.3,Y,N,5.44,U,N,N,Y,N,20,1,1,2,2015,14
COUL,25.7,Y,Y,7.8,H,N,N,Y,N,35,1,1,3,2015,15
ATTE,68.5,N,Y,12,D,Y,Y,Y,Y,0,2,4,1,2015,16
COUL,23.3,N,Y,6.65,D,Y,Y,Y,Y,0,2,4,1,2015,17
COUL,27,N,Y,7.85,D,N,N,Y,N,0,2,1,1,2015,18
COUL,22,N,Y,7.15,D,N,Y,Y,Y,0,2,3,1,2015,19
COUL,22.3,N,Y,5.2,D,N,N,Y,Y,0,2,2,1,2015,20
COUL,22.7,N,Y,6.525,D,N,N,Y,Y,0,2,2,1,2015,21
COUL,19.8,N,N,5.98,D,Y,Y,Y,Y,0,2,4,0,2015,22
COUL,23,N,Y,4.76,D,N,Y,Y,Y,0,2,3,1,2015,23
COUL,95.1,Y,Y,22.96,H,N,N,N,N,50,1,0,3,2016,1
COUL,4.4,N,N,2.82,U,N,N,N,N,25,1,0,0,2016,2
COUL,6.2,N,N,2.84,U,N,N,N,N,30,1,0,0,2016,3
COUL,23.9,Y,Y,10,U,N,N,N,N,30,1,0,3,2016,4
COUL,10.8,N,Y,5.67,D,Y,N,N,N,0,1,0,1,2016,5
COUL,7.9,Y,N,3.76,D,N,N,N,N,15,1,0,2,2016,6
COUL,8.8,Y,N,3.68,H,N,N,N,N,20,1,0,2,2016,7
COUL,14.7,Y,Y,5.15,U,N,N,N,N,10,1,0,3,2016,8
COUL,23.3,Y,Y,8.6,U,N,N,N,N,15,1,0,3,2016,9
COUL,2.1,Y,N,2.3,D,N,N,N,N,15,1,0,2,2016,10
COUL,4.3,Y,N,3.5,U,N,N,N,N,20,1,0,2,2016,11
COUL,25.4,Y,Y,12.1,U,N,N,N,N,35,1,0,3,2016,12
COUL,12.2,Y,N,6.7,U,N,N,N,N,25,1,0,2,2016,13
COUL,14.4,Y,N,5.6,U,N,N,Y,N,20,1,1,2,2016,14
COUL,25.9,Y,Y,7.9,H,N,N,Y,N,35,1,1,3,2016,15
ATTE,68.5,N,Y,12,D,Y,Y,Y,Y,0,2,4,1,2016,16
COUL,23.3,N,Y,6.65,D,Y,Y,Y,Y,0,2,4,1,2016,17
COUL,27,N,Y,7.85,D,N,N,Y,N,0,2,1,1,2016,18
COUL,22,N,Y,7.15,D,N,Y,Y,Y,0,2,3,1,2016,19
COUL,22.3,N,Y,5.2,D,N,N,Y,Y,0,2,2,1,2016,20
COUL,22.7,N,Y,6.525,D,N,N,Y,Y,0,2,2,1,2016,21
COUL,19.8,N,N,5.98,D,Y,Y,Y,Y,0,2,4,0,2016,22
